,Description,Difficulty,Image,Ingredients,Method,Preparation time,Serves,Title
10,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtNzQzYzM3NmMtMDYyMi00MzU4LWI0ZDYtYjhlODMzMGYzNWQyLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['Spicy Candied Bacon', '8 slices thick cut bacon, halved', '1/4 cup good quality maple syrup', '1 tablespoon cayenne pepper, or to taste', 'Summer Salad', '4 tablespoons red wine vinegar', '1 tablespoon honey', '1 tablespoon Dijon mustard', '1 lime, zested and juiced', '1/4 cup olive oil', '1 pint heirloom cherry tomatoes, halved']}","<div class=""recipe-text"">
                             For the bacon: <br/>Preheat the oven to 220C/ Gas Mark 7.  <p>1) Put a baking rack over a parchment paper lined tray and arrange the bacon slices across the rack - do not overlap. In small bowl combine the syrup and cayenne and brush the bacon generously with the mixture. Put in the oven and bake until cooked through, about 15 to 20 minutes. Set aside until ready to use.  <p>For the Summer salad: <p>2) In a large bowl, add the vinegar, honey, Dijon and lime zest and juice and whisk to combine. While whisking, slowly drizzle in the olive oil to make a dressing. Add the remaining ingredients and stir to combine. Season with salt and pepper, to taste. Set aside until ready to use.  <p>For the Bruschetta: <p>3) In large saute pan, add the olive oil, cayenne and garlic. When the garlic has browned, remove it and discard. Add the bread slices, in batches if necessary, and cook until browned on both sides. You may need to add more olive oil to the pan if the bread soaks up too much. Remove to sheet tray and set aside until ready to plate the dish.  <p>For the Zesty olive spread: <p>4) Add all the ingredients to a food processor and pulse until pureed and smooth. Check for seasoning and set aside until ready to use.  <p>Assembly: <p>5) Put 2 pieces of bread on each plate. Spread the zesty olive spread on top of the bread. Lay 1 piece of bacon on each bread slice and top with the summer salad. Repeat with remaining bread and toppings.  <p>Cook's Note: Inspired by the movie Julie and Julia - if you have seen it, you will know what scene I am talking about!!!!! This is meant as a light summer dinner! Knife and fork required!  <br/><br/>A viewer, who may not be a professional cook, provided this recipe. The Food Network Kitchens chefs cannot make representation as to the results. <br/>
</p></p></p></p></p></p></p></p></p></p></div>",20 mins,4,Fiery summer bruschetta with zesty olive spread and spicy candied bacon
11,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtMDVlODM0ZTgtOTE0My00Y2IwLWE2YmEtMjAwNGU4MmJhYTM2LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'For the saffron aioli': ['3 cloves garlic, chopped', '1 tsp salt', '1 large egg yolk*', '1 tbsp white wine vinegar', '1 tbsp warm water', '1 tbsp freshly squeezed lemon juice', 'Pinch saffron', ""325ml golden-coloured extra virgin olive oil (See cook's note)""], 'For the potatoes': ['4 sweet potatoes (about 900g), scrubbed, blemishes removed', '2 tbsps extra virgin olive oil']}","<div class=""recipe-text"">
                            Saffron aioli: 
<br/><br/>1) Lightly sprinkle the garlic with a pinch of the salt and smash it into a paste with the side of a cook's knife. Set aside.
<br/><br/>2) Pour about 5cm of water into a small saucepan and bring to a simmer over medium heat.
<br/><br/>3) In a medium, heatproof bowl, whisk together the remaining salt, egg yolk, vinegar, water, lemon juice and saffron until light and frothy. Place the bowl over the simmering water and whisk constantly until the yolk mixture is just warmer than room temperature, about 20 seconds. Remove from the heat and whisk in the garlic paste.<br/><br/>4) While whisking constantly, gradually drizzle in the olive oil until a smooth and slightly thick sauce is formed. Store in the refrigerator until ready to use.
<br/><br/>Sweet potatoes: 
<br/><br/>1) Meanwhile, position a rack in the centre of the oven and preheat to 220C/Gas 7.
<br/><br/>2) Put a baking sheet on the centre rack and preheat for 10 minutes.
<br/><br/>3) Quarter the sweet potatoes and leave the skins on. In a large bowl, toss the wedges with the olive oil. Carefully remove the hot baking sheet from the oven and evenly place the wedges on the pan, cut-side down. Bake until the bottoms of the potatoes are lightly browned, about 15 minutes. <br/><br/>4) Carefully remove the hot baking sheet from the oven. Turn the wedges so the other cut side comes in contact with the hot baking sheet. Continue to bake the sweet potatoes until both sides are browned and tender, about 15 minutes more.
<br/><br/>To serve, arrange the sweet potatoes on a platter and season with salt, to taste. Drizzle the potatoes with some of the aioli. Serve warm.<br/><br/>Cook's note: We recommend golden olive oil for its smooth finish and low acidity. The golden colour comes from olive pressed at the peak of ripeness. These oils are made in the American state of California, southern France and Sicily.<br/><br/>*RAW EGG WARNING <br/><br/>Food Network Kitchens suggest caution in consuming raw and lightly-cooked eggs due to the slight risk of Salmonella or other food-borne illness. To reduce this risk, we recommend you use only fresh, properly-refrigerated, clean, grade A or AA eggs with intact shells, and avoid contact between the yolks or whites and the shell.<br/>
</div>",10 mins,4,Roasted sweet potato wedges with saffron aioli
12,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtMDEwMzAxOTQtNGRiZS00NDk2LWIxNmYtZDUyYTJjZDZhZWZlLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['200g light muscovado sugar', '200g dark molasses sugar', '340g plain flour', '1 tablespoon ground ginger', '1 tablespoon ground cinnamon', '½ teaspoon mixed spice', 'A generous pinch of nutmeg', '1 vanilla pod (optional)', '1 teaspoon bicarbonate of soda', '225g butter, plus extra for greasing', '2 eggs, beaten', '190ml milk']}","<div class=""recipe-text"">
<p>Separately sift the flour and sugars into separate containers, then mix the ginger, cinnamon and nutmeg together in a bowl. Sift the flour together with the bicarbonate of soda. Layer half the flour in a 1 litre kilner jar, then add half the light muscovado sugar and then half the dark molasses sugar and top with the mixed spices. Finish by doing the second layer of the flour, and the second layers of the two sugars.</p>
<p>Put the icing sugar into a small sealable bag and in a separate bag put in the decorations. Pop both these bags inside the kilner jar and seal it. Now write your instructions…</p>
<p><strong>Cooking instructions for the packaging</strong></p>
<p>Preheat the oven to 160°C. Grease 2 x 2litre bread tins and line the base with baking parchment. </p>
<p>Stir the eggs and milk into the butter mixture so all the liquids are combined then fold the liquid quickly into the flour mixture with a large metal spoon or whisk.</p>
<p>Pour the batter into the roasting tin and bake in the oven for 45 minutes or until the cake is risen and is firm, and when if a skewer is inserted into the centre of it, it draws off clean. Leave to cool on a wire rack.</p>
<p>For the icing, mix the icing sugar with the juice of half a lemon and split between each cake. </p>
<p><em>Recipe courtesy of Gizzi Erskine</em></p>
</div>",25 mins,8,Ginger Cake in a Jar
13,N/A,Hard,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtYmQ1YTg2ZmQtY2U2Yy00ZWYyLWE1NzgtNTIzNzEyYTczM2Q1LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQxNCwiaGVpZ2h0IjoyMzMsImZpdCI6ImNvdmVyIn19fQ==,"{'For the crust': ['2/3 cup biscuit crumbs', '1/2 cup plain flour', '1/2 cup sweetened desiccated coconut', '1 tbsp sugar', '1/3 cup unsalted butter'], 'For the filling': ['300ml sweetened condensed milk', '5 large egg yolks', '2/3 cup fresh lemon juice', '2 tsp lemon zest'], '5 tbsp cold water': []}","<div class=""recipe-text"">
<p>1. For the crust, preheat oven to 350°F and lightly grease and 8-inch square pan and line with parchment paper so that it comes up the sides of the pan.  Toss all the crust ingredients until well-combined and press into the prepared pan.  Bake for 12 minutes and cool while preparing the lemon filling.</p>
<p>2. For the filling, reduce the oven to 325°F.  Whisk all the filling ingredients together and pour into the cooled crust.  Bake for 20 minutes, until set but with a little jiggle in the centre, then cool to room temperature before chilling for at least an hour.</p>
<p>3. For the marshmallow meringue, stir 3 Tbsp of the cold water with the gelatin and the meringue powder in a large bowl or the bowl of a mixer fitted with the whip attachment and set aside.</p>
<p>4. Bring the remaining 2 Tbsp of water, the sugar and the corn syrup to a boil and boil uncovered and without stirring until it reaches a temperature of 240°F on a candy thermometer.  While whipping, carefully pour the hot sugar into the bowl with the gelatin and whip this on high speed until tripled in volume and cooled, about 5 minutes.  </p>
<p>5. Remove the lemon square from the fridge. Dollop the marshmallow on top of the filling and spread even.  Let chill until set. </p>
<p>6. Use a blowtorch to lightly brown the marshmallow and chill until ready to slice and serve.</p>
<p><em>The squares will keep for up to 3 days refrigerated.</em></p>
</div>",50 mins,9,Lemon Marshmallow Squares
14,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtOWJjZWNlMjAtNzU5Mi00OTAzLWFkYzktNzA2Nzc5NjA0YWQ5LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQxNCwiaGVpZ2h0IjoyMzMsImZpdCI6ImNvdmVyIn19fQ==,"{'All': ['125g butter or margarine, softened, plus extra for greasing', '50g caster sugar', '175g self-raising flour, sifted', '175g dark or milk chocolate, broken into pieces'], 'For the filling': ['200g condensed milk', '125g butter or margarine', '125g caster sugar', '2 tbsp golden syrup']}","<div class=""recipe-text"">
<p>1. Preheat the oven to 180°C, gas mark 4 and grease an 18 x 28cm Swiss roll tin.</p>
<p>2. To make the base, cream the butter and sugar together in a mixing bowl until light and fluffy. Fold the four into the creamed mixture until well mixed. Press the mixture evenly into the base of the prepared tin and bake in the centre of the preheated oven for about 12 minutes until golden.</p>
<p>3. Meanwhile, make the filling Place all of the filling ingredients into a saucepan, bring to a gentle boil, then continue to simmer for 5-10 minutes, stirring continuously. You need to stir quite vigorously as little bits of caramel will stick to the pan but should come away easily and dissolve. Once the sugar has dissolved and the mixture has turned a light caramel colour, take the pan off the heat and spread the filling all over the cooked base. Leave to cool.</p>
<p>4. Melt the chocolate in a bowl set over a saucepan of simmering water, making sure the base of the bowl does not touch the water. Stir until the chocolate is completely melted and the pour it over the caramel. Leave to set for 2 hours or until the chocolate is firm. Cut into 12 fingers.</p>
</div>",35 mins,12,Millionaire's Shortbread
15,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtZGE3N2NjODktZGQwMS00ZmI0LThmZjUtNzkzZGViZGViOTA4LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['1 tbsp sunflower oil by Sainsbury’s', '1 onion, finely chopped', '1 clove garlic, crushed', '300g leftover roast lamb, chopped', '1 tbsp light soy sauce by Sainsbury’s', '1 tbsp Dijon mustard by Sainsbury’s', '275ml hot lamb stock made with 1 lamb stock cube by Sainsbury’s', '225g frozen peas by Sainsbury’s', '1 tbsp cornflour by Sainsbury’s', '350g leftover roast potatoes, roughly chopped']}","<div class=""recipe-text"">
<p>Preheat the oven to 220°C, fan 200°C, gas 7. Heat the oil in a large pan, add the onion and cook for 5 minutes. Add the garlic, lamb, soy sauce, mustard, stock and peas. Stir, then bring to the boil and cook for 8 minutes. Mix the cornflour with 2 tablespoons of water, add to the pan and cook for 1 minute.</p>
<p>Meanwhile, put the potatoes, parsnips and milk in another pan and heat gently, covered, for 5 minutes. Crush roughly with a potato masher.</p>
<p>Spoon the lamb filling into a 1.25 litre pie dish and scatter over the mint. Top with the potato mixture, scatter over the Cheddar and bake for 10-15 minutes, until the top is golden.</p>
<p><em>Recipe courtesy of Rejina Sabur-Cross and <a href=""http://inspiration.sainsburys-live-well-for-less.co.uk/"" target=""_blank"">Sainsbury's</a></em></p>
</div>",5 mins,4,Lamb and Pea Pie
16,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtNDY3NDM2MWEtY2UwZS00ZmY4LThmMGMtZTAwYzU4OTQ1YTBhLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['1  (450g) punnet of strawberries', '4 tbsp sugar', '1/2 lemon', '1 sprig of mint', ""1 bottle of Pimm's"", '250ml double cream', '125g mascarpone', '2 tbsp strawberry jam', '1 packet of sponge fingers or 1 madeira cake loaf']}","<div class=""recipe-text"">
                            1) Take 3/4 of the strawberries and prepare a coulis: slice thinly then add into a saucepan with 1 tbsp of sugar and the juice from the lemon and the sprig of mint. Add a tbsp of Pimm's. <p>
2) Slowly poach the strawberries so that they let out their juice; you don't want to mash them. Stir carefully to coat all the fruit in the juice and Pimm's mixture. Simmer gently to allow the fruit/ liquid mixture to reduce slightly, then take off the heat and drain the juices into a jug. To this jug, add another tbsp of Pimm's and stir.<p>
3) In the mean time, beat the double cream until it forms soft peaks, then add 2 tbsp of Pimm's and beat in the mascarpone. When the mix is combined, warm the strawberry jam in the microwave for 30 secs, then fold in 3 tbsp of jam so you get a ripple effect <p>
4) Start to put the trifle together by layering a glass dish or individual glasses with sponge fingers. If you're using madeira cake, cut 1cm thick slices. When the bottom of the dish is lined, drizzle the Pimm's/strawberry juice mixture to soak the sponge. Spoon over a layer of strawberries (to add interesting texture, you could slice some extra strawberries and add in at this point). <p>
5) Spread a layer of the mascarpone/ cream mixture. Repeat with another sponge layer and so on until you reach the top of the bowl. The last layer should be a layer of cream/mascarpone.<p> 
6) To finish, take the rest of the strawberries and slice thinly. Carefully layer these over the top of the trifle to cover the entire top. Warm through a tablespoon of jam, then brush this on the top. Put the container in the fridge to chill for at least 1 hour.
                        </p></p></p></p></p></div>",15 mins,4,Strawberry Pimm's Trifle
17,N/A,Medium,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtMDAxNGNiOTctZjJkMi00MzVkLTk0NTMtZThhMThmMGM0ZGRiLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['3/4 cup peanut oil', '12 (6-inch) yellow corn tortillas', 'Sea salt, for seasoning, plus 1 teaspoon for beef', '1 medium onion, chopped', '16 ounces ground sirloin', '2 cloves garlic, minced', '2/3 cup low-sodium beef broth', '6 ounces panela cheese, crumbled', '12 pickled jalapeno slices', '1 cup shredded iceberg lettuce, optional', '1 large tomato, seeded and chopped, optional']}","<div class=""recipe-text"">
<p>Make a taco mold by rolling out aluminum foil and folding it over in 10-inch increments until you have a 4-sheet-thick piece of foil.</p>
<p>Fold the large foil square in half horizontally, bringing the bottom to the top, and then turn 90 degrees. Crimp over the top and bottom edges by 1 inch, and then fold over the sides by 1 inch.</p>
<p>Place the aluminum foil roll or a narrow rolling pin into the center of the foil square and bring the sides together to create a hollow, narrow tube to mold the taco, making sure it can stand up on the long side.</p>
<p>Heat the oven to 120°C.</p>
<p>Heat the peanut oil in a 12-inch cast iron skillet over medium heat until it reaches 175°C on a deep-fry thermometer, about 5 minutes. Adjust the heat to maintain the temperature.</p>
<p>Shape 1 tortilla around the aluminum foil mold, forming a taco shape. Use tongs to hold up the sides against the mold and put the bottom of the tortilla into the hot oil and fry for 20 seconds.</p>
<p>Lay 1 side of the tortilla down in the hot oil and fry for 30 seconds. Flip the tortilla over and fry for an additional 30 seconds.</p>
<p>Remove the taco shell to a cooling rack set over a newspaper lined half sheet pan and cool for 30 seconds before removing the mold.</p>
<p>Sprinkle the hot tortillas with sea salt, to taste.  Repeat frying procedure with the remaining tortillas.  Keep the taco shells warm in the heated oven while preparing the filling.</p>
<p>Drain all but 2 tablespoons of the peanut oil from the skillet and return to medium heat. Once the oil shimmers, add the onion and cook until softened and lightly browned around the edges, about 3 to 4 minutes.</p>
<p>Add the ground meat, 1 teaspoon salt, and garlic. Cook until browned, about 3 to 4 minutes, stirring occasionally, to break up the meat.</p>
<p>Add Taco Potion and beef broth. Bring to a simmer and cook, uncovered, until sauce is slightly thickened, 2 to 3 minutes.</p>
<p>Assemble each taco with meat mixture, panela, jalapeno slices, lettuce, tomatoes, and cilantro. Serve immediately.</p>
</div>",45 mins,6,Beef Tacos
18,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtMGZmZDczZWItM2Y2ZC00MzZlLThmNGItMDg0NjM4Mjc3YWQ1LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['225g vermicelli rice noodles', '1 tablespoon oil', '225g minced pork', '3 teaspoons Very Lazy Chopped Garlic', '1 teaspoon Very Lazy Ginger Paste', '4 teaspoons Very Lazy Smoked Chopped Red Chillies', '1 teaspoon caster sugar', '150g cooked peeled prawns', '2 tablespoons fish sauce', '2 tablespoons lime juice', '1 teaspoon caster sugar', '50g roasted peanuts, chopped']}","<div class=""recipe-text"">
<p>1. Place the noodles in a large bowl and cover with boiling water. Leave to stand for 3 minutes. Rinse thoroughly in cold water and drain well and place in a bowl.</p>
<p>2. Heat the oil in a wok or frying pan, add the pork, garlic, ginger, chillies and sugar and stir- fry for 3-4 minutes until the pork is cooked. Stir the mixture into the noodles with the prawns.</p>
<p>3. In a small bowl mix together the fish sauce, lime juice and sugar, stir until the sugar has dissolved. Pour over the noodles and mix well. Stir in most of the peanuts, reserving a few for decoration, spring onions and coriander and mix well.</p>
<p>4. Serve in bowls, garnished with the reserved peanuts, chillies and spring onions.</p>
<p><em>Recipe courtesy of <a href=""http://www.verylazy.com/"" target=""_blank"">Very Lazy</a></em></p>
</div>",10 mins,4,Thai Pork and Noodle Salad
19,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtYjU3M2YyNjctYmUxNi00YTFjLTkxOGMtZjBhYjQ4YzIzMDZjLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['4 The Co-operative British free range eggs', '60g The Co-operative mature Cheddar cheese, grated', '80g closed cup mushrooms, roughly chopped', '1 pepper (any colour), roughly chopped', 'Black pepper']}","<div class=""recipe-text"">
<p>1. Beat the eggs well and add in some black pepper.</p>
<p>2. In a frying pan heat a tablespoon of oil, add in the chopped mushrooms and peppers and keep stirring until they go nice and soft.</p>
<p>3. Then add the eggs and cook until your omelette sets, sprinkle the grated cheese on top, then fold in half and serve.</p>
<p>4. Make sure your dinner is fully cooked and piping hot before serving it up.</p>
<p><em>Recipe courtesy of The co-operative food</em></p>
</div>",5 mins,2,Cheese and Mushroom Omelette
20,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtMTU5ZWQ5M2EtZGE2Yy00NjU0LTg3NWYtOGRhOGU4YzZiNjg5LmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'For the steak': ['900g to 1.1kg beef fillet, trimmed', 'Olive oil', 'Salt and freshly ground black pepper', 'Soft hoagie rolls, split 3/4 open', 'Sauteed Mushrooms, recipe follows', 'Provolone Sauce, recipe follows', 'Caramelized Onions, recipe follows', 'Sauteed Peppers, recipe follows'], 'For the provolone sauce': ['15g unsalted butter', '1 tbsp plain flour']}","<div class=""recipe-text"">
                            For the steak:<br/>1) Place steak in freezer for 30 to 45 minutes; this makes it easier to slice the meat. Remove the meat from the freezer and slice very thinly. <br/><br/>2) Heat griddle or griddle pan over high heat. Brush steak slices with oil and season with salt and pepper. Cook for 45 to 60 seconds per side.<br/><br/>3) Place several slices of the meat on the bottom half of the roll, spoon some of the provolone sauce over the meat, and top with the mushrooms, onions, and peppers.<br/><br/>For the provolone sauce:<br/>1) Melt butter in a medium saucepan over medium heat. Whisk in the flour and cook for 1 minute. Slowly whisk in the warm milk, and cook, whisking constantly until thickened, about 4 to 5 minutes. Remove the mixture from the heat and whisk in the provolone and Parmesan until combined; season with the salt and pepper.<br/><br/>For the sauteed mushrooms:<br/>1) Heat oil and butter in a large saute pan over high heat. Add the mushrooms and cook until the mushrooms are golden brown. Stir in the parsley and season with salt and pepper.<br/><br/>For the caramelized onions:<br/>1) Heat butter and oil in a large saute pan over medium heat. Add the onions, season with salt and pepper, and cook slowly until golden brown and caramelized, stirring occasionally, approximately 30 to 40 minutes.<br/><br/>For the sauteed peppers:<br/>1) Heat the oil in medium saute pan over high heat. Add the peppers and cook until soft. Season with salt and pepper.
                        </div>",30 mins,4,Philly cheese steak
21,N/A,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtZGFiYTRlMzYtMzNiNy00NDJhLWE5NzktMWUyOTYxNmZmOGJlLmpwZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDE0LCJoZWlnaHQiOjIzMywiZml0IjoiY292ZXIifX19,"{'All': ['200 grams smoked haddock', '800 millilitres milk', 'Pinch of ground nutmeg', '1 bay leaf', '6 black peppercorns', '250 grams baby leaf spinach', '450 grams macaroni', '50 grams unsalted butter', '50 grams plain flour', '200 grams mature cheddar cheese, grated', '1 tablespoons grain mustard', '50 grams fresh white crab meat']}","<div class=""recipe-text"">
<p>Preheat the oven to 200 degrees Celsius or 400 degrees Fahrenheit.</p>
<p>Pour the milk, nutmeg, bay leaf and peppercorns into a deep, wide saucepan and bring to a simmer. Lay the haddock in and poach gently for 5 minutes.</p>
<p>Remove the fish with a spatula and transfer to a plate to cool. Strain the milk through the sieve into a jug. When the fish is cool enough to handle, remove the skin and flake into chunks, discarding any bones.</p>
<p>Put the spinach into a large pan with a splash of water and cook over a high heat for 1 to 2 minutes until just wilted. Drain in a sieve and put out any excess liquid with the back of a ladle.</p>
<p>Bring a large pan of salted water to the boil, add the pasta and cook for 8 to 10 minutes or until al dente. Drain and set aside.</p>
<p>Melt the butter in a large saucepan and whisk in the flour. Cook for 3 to 4 minutes until the mixture starts to turn a light brown colour. Gradually whisk in the reserved milk; don’t add too much at once or the sauce will turn lumpy.</p>
<p>Once all the milk has been incorporated bring the sauce to a simmer and cook gently for 2 minutes, whisking constantly.</p>
<p>Remove the pan from the heat and whisk in the mustard and cheese. Add the cooked pasta, haddock, spinach and crab to the sauce and stir until evenly coated.</p>
<p>Pour the mixture into a large ovenproof dish then sprinkle the breadcrumbs and parmesan over the top.</p>
<p>Bake in the oven for 20 to 25 minutes or until the cheese is golden brown and bubbling. Remove from the oven and leave to cool for a few minutes before serving.</p>
</div>",10 mins,6,Smoked Haddock Mac & Cheese
22,Cono Sur wine pairing: The hints of toasted nuts make Voignier the ultimate match for a simple prawn dinner.,Easy,https://d2v9mhsiek5lbq.cloudfront.net/eyJidWNrZXQiOiJsb21hLW1lZGlhLXVrIiwia2V5IjoiZm9vZG5ldHdvcmstaW1hZ2UtYzBjYjBjYzMtZDg0Yi00MjI2LTljZjAtZTcyNWFlZmFiZmI5LmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQxNCwiaGVpZ2h0IjoyMzMsImZpdCI6ImNvdmVyIn19fQ==,"{'All': ['4 ounces rice vermicelli noodles', '4 cups baby spinach', '2 medium carrots, peeled and grated on large holes of box grater (about 1 cup)', '1/2 cup Thai-style canned coconut milk', '1 1/2 teaspoons Thai red curry paste', '1 teaspoon fish sauce', '1 clove garlic, finely grated', 'Freshly grated zest of 1 lime and 1 teaspoon lime juice, plus wedges for serving', '3/4 teaspoon light brown sugar', '1 pound large prawns, peeled and deveined']}","<div class=""recipe-text"">
<p>1. Position 2 racks in the upper and lower thirds of the oven and preheat to 200°C. Cut four 16-inch long sheets of parchment paper. Fold each sheet in half and open like a book. Divide the pieces of parchment between 2 baking sheets (2 pieces per sheet).</p>
<p>2. Place the noodles in a large bowl and cover completely with warm water. Let sit for 5 minutes to soften, then drain well. Dry the bowl and put the noodles back in, along with the spinach and carrot: reserve.
Whisk the coconut milk, curry paste, fish sauce, garlic, lime zest and juice, and brown sugar together in a medium bowl. Add 1/4 cup of the coconut marinade to the noodles, season with 1/8 teaspoon salt and toss to coat. Add the prawns to the remaining marinade and toss to coat.</p>
<p>3. Divide the noodles and vegetables between the 4 sheets of parchment, placing on one side of the fold. Drizzle each serving with 2 tablespoons water. Top with prawns and drizzle with remaining marinade. Cut each lemongrass stalk into 4 pieces and smash with mallet or other heavy item. Place 2 in each pack.</p>
<p>4. Fold over the top half of the parchment, crimping and overlapping small folds along the open edge to seal tightly. Bake until the parchment puffs, about 12 minutes; the prawns will be cooked through.</p>
<p>5. Transfer each pack to a plate. Avoiding the hot steam, carefully cut open each pack and discard the lemongrass stalks. Serve with lime wedges.</p>
<p>Special equipment: parchment paper</p>
<p>Copyright 2016 Television Food Network, G.P. All rights reserved</p>
<p>From Food Network Kitchen</p>
</div>",20 mins,4,Lemongrass-Coconut Prawn and Noodles Parchment Pack
